date;time;location;operator;flight_tag;aircraft_type;aircraft_reg;cn_ln;accident_type;fatalities;total_crew;dead_names
09/17/1908;17:18;Fort Myer, Virginia;Military - U.S. Army Air Forces;None;Wright Flyer III;None;1;Unknown;1;2;[Jeren Darrick]
09/07/1909;00:46;Juvisy-sur-Orge, France;Unknown;None;Wright Byplane;SC1;None;Unknown;1;1;[Dhyana Averill]
07/12/1912;06:30;Atlantic City, New Jersey;Military - U.S. Navy;None;Dirigible;None;None;Shot down;5;5;[Satin Winnie,Jessey Ethelred,Natricia Geno,Kristyl Wally,Radames Miner]
08/06/1913;10:20;Victoria, British Columbia, Canada;Private;None;Curtiss seaplane;None;None;Unknown;1;1;[Kenyotta Lannie]
09/09/1913;18:30;Over the North Sea;Military - German Navy;None;Zeppelin L-1 (airship);None;None;Other;14;20;[Reena Ximenes,Juventino Brock,Kassia Jayson,Jonni Dukey,Linsdey Thorsten,Lanee Whitby,Canda Alphard,Jacquella Patricio,Aisa Vern,Jaquana Penny,Jaima Emmery,Shandon Paolo,Kam Jae,Reina Gar]
10/17/1913;10:30;Near Johannisthal, Germany;Military - German Navy;None;Zeppelin L-2 (airship);None;None;Unknown;30;30;[Celestia Freeman,Kentaro Hilary,Aimy Bobby,Lerin Benedict,Ephriam Andre,Brianna Hastings,Kyna Wilek,Netra My,Ranae Percy,Rejeana Iorgos,Anaalicia Arvie,Jenson Paco,Timur Stavro,Aracelia Penny,Makenna Redford,Ayeshia Haydon,Sahra Luther,Markeis Stephen,Dalisha Papageno,Bulmaro Etienne,Adrean Heriberto,Chadd Marion,Jamilla Benedikt,Sadiq Charley,Vinh Burt,Ieashia Yorgo,Tria Artie,Elisheva Claudianus,Tannya Eldon,Jefferson Levi]
03/05/1915;01:00;Tienen, Belgium;Military - German Navy;None;Zeppelin L-8 (airship);None;None;Unknown;21;41;[Vika Harry,Ambor Jo,Mikey Skylar,Latrena Prentiss,Shian Morty,Shelita Izzy,Laketha Jerry,Ricahrd Gregg,Augusta Claudian,Jamisha Eliot,Mychal Jehu,Brycen Rawley,Chanh Rockie,Simmie Hunt,Tracee Loren,Tammra Nikolas,Kieron Christy,Marylyn Papageno,Lenzy Tracie,Laken Ed,Ayeshia Matthieu]
09/03/1915;15:20;Off Cuxhaven, Germany;Military - German Navy;None;Zeppelin L-10 (airship);None;None;Hijacked;19;19;[Val Culley,Pari Sly,Farooq Skylar,Araina Heinrick,Natlie Ron,Trystan Jarrod,Dawnmarie Jessey,Radhika Briant,Chuck Ganny,Christianne Marmaduke,Andrei Henrik,Cailyn Alvis,Arienne Tracey,Lizzie Phineas,Britaney Maurie,Adela Olav,Alexandrina Corbie,Craven Ruby,Labarron Burnard]
07/28/1916;05:32;Near Jambol, Bulgeria;Military - German Army;None;Schutte-Lanz S-L-10 (airship);None;None;Other;20;20;[Elica Cassius,Aldrich Obediah,Hershel Guilbert,Junius Finlay,Kadi Orran,Angeli George,Rian Ingram,Larrissa Eben,Morton Dore,Syretta Kalle,Tarna Herbie,Sharida Ricky,Fenton Biron,Melonee Amery,Symantha Wallache,Christin Bernarr,Emelia Eamon,Arabella Tedd,Edelmira Bond,Brieann Royce]
09/24/1916;01:00;Billericay, England;Military - German Navy;None;Zeppelin L-32 (airship);None;None;Weather;22;22;[Jeshua Crawford,Geoff Michal,Odessa Dino,Tavis Hall,Tarren Lyell,Tarah Syman,Inger Yance,Natessa Martino,Solina Ragnar,Shainna Andrus,Corvetta Jacob,Brandilyn Lucho,Santez Horst,Brisa Waldo,Tami Maje,Anntoinette Robb,Phylicia Lloyd,Beatris Woodman,Antroine Artemas,Liseth Evelyn,Lannette Otto,Roby Dudley]
10/01/1916;23:45;Potters Bar, England;Military - German Navy;None;Zeppelin L-31 (airship);None;None;Other;19;19;[Teona Raymund,Kalena Sigmund,Lashia Avigdor,Creed Gaven,Venecia Jedd,Sharai Edmon,Ranisha Alard,Djuan Branden,Reshunda Brendan,Jacob Kienan,Montell Virgilio,Jamil Scot,Mel Ely,Isolina Ivan,Kristjan Georges,Jovaughn Walden,Jacara Archer,Jb Chickie,Johnathen Sutherland]
